;Modele;filter_factor;num_units;num_epoch;optimizer;loss;accuracy;duration(s)
0;model6;1;64;10;adam;1.1564;0.3667;294
1;model6;1;64;10;rmsprop;1.0326;0.4333;298
2;model6;1;64;10;sgd;;0.3333;282
3;model6;1;64;30;adam;1.0266;0.45;870
4;model6;1;64;30;rmsprop;1.0662;0.4833;832
5;model6;1;64;30;sgd;;0.3333;860
6;model6;1;256;10;adam;1.053;0.4333;300
7;model6;1;256;10;rmsprop;20.8895;0.3333;306
8;model6;1;256;10;sgd;;0.3333;338
9;model6;1;256;30;adam;1.1361;0.4167;911
10;model6;1;256;30;rmsprop;1.1096;0.55;942
11;model6;1;256;30;sgd;;0.3333;909
12;model6;3;64;10;adam;1.0853;0.4;812
13;model6;3;64;10;rmsprop;1.0912;0.4;874
14;model6;3;64;10;sgd;;0.3333;817
15;model6;3;64;30;adam;1.0986;0.3333;2477
16;model6;3;64;30;rmsprop;1.0986;0.3333;2497
17;model6;3;64;30;sgd;;0.3333;2353
18;model6;3;256;10;adam;1.0884;0.3667;789
19;model6;3;256;10;rmsprop;80.1821;0.3333;788
20;model6;3;256;10;sgd;;0.3333;761
21;model6;3;256;30;adam;1.1039;0.3833;2392
22;model6;3;256;30;rmsprop;1.0934;0.4;2342
23;model6;3;256;30;sgd;;0.3333;2306
