;Modele;optimizer;filter_factor;num_units;num_epoch;loss;accuracy;duration(s)
0;model6;adam;1;64;10;1.1564;0.3667;294
3;model6;adam;1;64;30;1.0266;0.45;870
6;model6;adam;1;256;10;1.053;0.4333;300
9;model6;adam;1;256;30;1.1361;0.4167;911
12;model6;adam;3;64;10;1.0853;0.4;812
15;model6;adam;3;64;30;1.0986;0.3333;2477
18;model6;adam;3;256;10;1.0884;0.3667;789
21;model6;adam;3;256;30;1.1039;0.3833;2392
1;model6;rmsprop;1;64;10;1.0326;0.4333;298
4;model6;rmsprop;1;64;30;1.0662;0.4833;832
7;model6;rmsprop;1;256;10;20.8895;0.3333;306
10;model6;rmsprop;1;256;30;1.1096;0.55;942
13;model6;rmsprop;3;64;10;1.0912;0.4;874
16;model6;rmsprop;3;64;30;1.0986;0.3333;2497
19;model6;rmsprop;3;256;10;80.1821;0.3333;788
22;model6;rmsprop;3;256;30;1.0934;0.4;2342
2;model6;sgd;1;64;10;;0.3333;282
5;model6;sgd;1;64;30;;0.3333;860
8;model6;sgd;1;256;10;;0.3333;338
11;model6;sgd;1;256;30;;0.3333;909
14;model6;sgd;3;64;10;;0.3333;817
17;model6;sgd;3;64;30;;0.3333;2353
20;model6;sgd;3;256;10;;0.3333;761
23;model6;sgd;3;256;30;;0.3333;2306
